City,State,Latitude,Longitude
Mumbai,Maharashtra,18.9387711,72.8353355
Delhi,Delhi,28.6517178,77.2219388
Bangalore,Karnataka,12.9791198,77.5912997
Hyderabad,Telangana,17.38878595,78.46106473
Ahmedabad,Gujarat,23.0216238,72.5797068
Chennai,Tamil Nadu,13.0801721,80.2838331
Kolkata,West Bengal,22.54541245,88.35677516
Surat,Gujarat,21.1864607,72.8081281
Pune,Maharashtra,18.521428,73.8544541
Jaipur,Rajasthan,26.916194,75.820349
Visakhapatnam,Andhra Pradesh,17.7231276,83.3012842
Nagpur,Maharashtra,21.1498134,79.0820556
Lucknow,Uttar Pradesh,26.8381,80.9346001
Kanpur,Uttar Pradesh,26.4609135,80.3217588
Thane,Maharashtra,19.1943294,72.9701779
Bhopal,Madhya Pradesh,23.2584857,77.401989
Pimpri-Chinchwad,Maharashtra,18.6279288,73.8009829
Patna,Bihar,25.6093239,85.1235252
Vadodara,Gujarat,22.2973142,73.1942567
Indore,Madhya Pradesh,22.7203616,75.8681996
Ghaziabad,Uttar Pradesh,28.711241,77.4445372
Ludhiana,Punjab,30.9090157,75.851601
Agra,Uttar Pradesh,27.1752554,78.0098161
Nashik,Maharashtra,20.0112475,73.7902364
Faridabad,Haryana,28.402837,77.3085626
Meerut,Uttar Pradesh,28.916667,77.683333
Rajkot,Gujarat,22.3051991,70.8028335
Kalyan-Dombivli,Maharashtra,19.2334875,73.1182464
Vasai-Virar,Maharashtra,19.4258788,72.8224901
Varanasi,Uttar Pradesh,25.3356491,83.0076292
Srinagar,Jammu and Kashmir,34.0747444,74.8204443
Aurangabad,Maharashtra,19.877263,75.3390241
Dhanbad,Jharkhand,23.7952809,86.4309638
Amritsar,Punjab,31.6343083,74.8736788
Navi Mumbai,Maharashtra,19.0308262,73.0198537
Allahabad,Uttar Pradesh,25.4381302,81.8338005
Howrah,West Bengal,22.5882216,88.323139
Ranchi,Jharkhand,23.3700354,85.3250132
Gwalior,Madhya Pradesh,26.2037247,78.1573628
Jabalpur,Madhya Pradesh,23.1608938,79.9497702
Coimbatore,Tamil Nadu,11.0018115,76.9628425
Vijayawada,Andhra Pradesh,16.5087586,80.6185102
Jodhpur,Rajasthan,26.2967719,73.0351433
Chandigarh,Chandigarh,30.7194022,76.7646552
Madurai,Tamil Nadu,9.9261153,78.1140983
Raipur,Chhattisgarh,21.2379469,81.6336833
Guwahati,Assam,26.1805978,91.753943
Solapur,Maharashtra,17.84990665,75.27632027
Hubli–Dharwad,Karnataka,15.3518378,75.1379848
Mysore,Karnataka,12.3051828,76.6553609
Tiruchirappalli,Tamil Nadu,10.804973,78.6870296
Bareilly,Uttar Pradesh,28.457876,79.40557094
Aligarh,Uttar Pradesh,27.87698975,78.13729028
Tiruppur,Tamil Nadu,10.78322705,77.5260478
Gurgaon,Haryana,28.42826235,77.00270015
Moradabad,Uttar Pradesh,28.8638424,78.80577833
Jalandhar,Punjab,31.29201065,75.56805772
Bhubaneswar,Odisha,20.2667774,85.8435592
Salem,Tamil Nadu,11.6612012,78.1602498
Warangal,Telangana,17.9806094,79.5982115
Mira-Bhayandar,Maharashtra,19.2955429,72.8573593
Jalgaon,Maharashtra,20.84351185,75.52592659
Kota,Rajasthan,25.1968256,76.00089331
Guntur,Andhra Pradesh,16.2915189,80.4541588
Bhiwandi,Maharashtra,19.3625308,73.07847468
Saharanpur,Uttar Pradesh,29.9880774,77.50812995
Gorakhpur,Uttar Pradesh,26.67132865,83.36458284
Bikaner,Rajasthan,28.0159286,73.3171367
Amravati,Maharashtra,21.15454115,77.64429618
Noida,Uttar Pradesh,28.5726442,77.3547609
Jamshedpur,Jharkhand,22.8015194,86.2029579
Bhilai,Chhattisgarh,21.2120677,81.3732849
Cuttack,Odisha,20.4686,85.8792
Firozabad,Uttar Pradesh,27.17736635,78.38991198
Kochi,Kerala,9.9340738,76.2606304
Nellore,Andhra Pradesh,14.4493717,79.9873763
Bhavnagar,Gujarat,21.7718836,72.1416449
Dehradun,Uttarakhand,30.3255646,78.0436813
Durgapur,West Bengal,23.5350475,87.3380425
Asansol,West Bengal,23.6871297,86.9746587
