State,City,Latitude,Longitude,Population
Andaman and Nicobar Islands,Port Blair,11.6645348,92.7390448,100186
Arunachal Pradesh,Itanagar,27.0979659,93.6237291,59490
Assam,Dispur,26.1513079,91.7933805,957352
Chhattisgarh,Naya Raipur,21.1610268,81.7864412,1010087
Dadra and Nagar Haveli and Daman and Diu,Daman,20.4283,72.8397,191173
Goa,Panaji,15.4989946,73.8282141,40017
Haryana,Chandigarh,30.4319533,76.7785643,1055450
Ladakh,Leh,34.1642029,77.5848133,274289
Lakshadweep,Kavaratti,10.55905,72.6365688,11473
Meghalaya,Shillong,25.5760446,91.8825282,143229
Nagaland,Kohima,25.75,94.166667,115283
Punjab,Chandigarh,30.7194022,76.7646552,1055450
